               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.021443,            0.034731,           0.0021314,             0.98525,              0.9846,             0.98944,              0.8864,            0.015028,            0.027169,           0.0018101,            0.005149,            0.005149,            0.005149
                  51,            0.020597,            0.033152,           0.0019596,             0.98974,             0.98993,             0.99248,             0.87065,            0.016093,            0.028184,           0.0017611,             0.00505,             0.00505,             0.00505
                  52,             0.02083,            0.033735,           0.0019569,             0.99028,             0.98601,             0.99306,             0.85669,            0.016199,            0.029157,            0.001669,            0.004951,            0.004951,            0.004951
                  53,             0.02028,            0.032312,           0.0018594,             0.99245,             0.98727,             0.99301,             0.88154,            0.015483,             0.02873,           0.0015508,            0.004852,            0.004852,            0.004852
                  54,            0.020101,            0.032137,           0.0018924,             0.99288,             0.98939,             0.99295,             0.88116,            0.015287,            0.027955,           0.0016216,            0.004753,            0.004753,            0.004753
                  55,            0.019946,            0.031957,           0.0018932,             0.99093,             0.98578,              0.9928,             0.91179,             0.01435,            0.027549,           0.0016593,            0.004654,            0.004654,            0.004654
                  56,            0.020073,            0.032151,           0.0020325,             0.98838,             0.98571,             0.99315,             0.89032,            0.014785,            0.027644,           0.0016411,            0.004555,            0.004555,            0.004555
                  57,            0.019637,            0.031754,           0.0018619,             0.98709,             0.98188,             0.99237,             0.90195,            0.013426,            0.025956,           0.0016982,            0.004456,            0.004456,            0.004456
                  58,            0.018979,            0.031462,           0.0019264,              0.9902,             0.98746,             0.99331,             0.90418,            0.014337,            0.027236,           0.0016254,            0.004357,            0.004357,            0.004357
                  59,             0.01879,            0.029633,           0.0019753,             0.99121,             0.98561,             0.99253,             0.89662,            0.013944,            0.025772,           0.0016709,            0.004258,            0.004258,            0.004258
                  60,            0.018447,            0.029861,           0.0018519,             0.99077,             0.98637,             0.99244,              0.8977,            0.013863,            0.026238,           0.0016182,            0.004159,            0.004159,            0.004159
                  61,             0.01899,            0.030799,           0.0017028,             0.99175,             0.98715,             0.99315,             0.90655,            0.013532,            0.024659,           0.0016128,             0.00406,             0.00406,             0.00406
                  62,            0.017946,            0.029388,           0.0017743,             0.99295,              0.9841,             0.99211,             0.91197,             0.01383,            0.025258,           0.0016192,            0.003961,            0.003961,            0.003961
                  63,            0.018582,            0.031118,           0.0018225,             0.99284,             0.98564,             0.99276,              0.9194,            0.013213,            0.024767,            0.001523,            0.003862,            0.003862,            0.003862
                  64,            0.017527,            0.029113,            0.001879,             0.99079,              0.9861,             0.99353,             0.93236,            0.012289,            0.023073,           0.0015824,            0.003763,            0.003763,            0.003763
                  65,            0.017904,            0.029304,           0.0017312,             0.98835,             0.98511,             0.99356,             0.92281,            0.012683,            0.024399,           0.0015734,            0.003664,            0.003664,            0.003664
                  66,            0.017632,            0.029742,           0.0017284,             0.98774,             0.98594,             0.99343,             0.91387,            0.013555,            0.024729,           0.0015606,            0.003565,            0.003565,            0.003565
                  67,            0.017327,            0.028951,           0.0017255,             0.98631,             0.98203,             0.99279,             0.89966,            0.014236,            0.024903,             0.00156,            0.003466,            0.003466,            0.003466
                  68,            0.017542,            0.029371,            0.001729,             0.99346,             0.98558,             0.99392,             0.91105,            0.012795,            0.023539,           0.0013999,            0.003367,            0.003367,            0.003367
